timestamp,热总能量计累计热量,总冷累计能量（kWh）
2018-01-01T09:53:19Z,15081.74,2726.25
2018-01-01T09:55:00Z,15081.83,2726.25
2018-01-01T09:58:19Z,15081.92,2726.25
2018-01-01T10:00:00Z,15082.01,2726.25
2018-01-01T10:03:19Z,15082.1,2726.25
2018-01-01T10:05:00Z,15082.185000000001,2726.25
2018-01-01T10:08:19Z,15082.27,2726.25
2018-01-01T10:10:00Z,15082.36,2726.25
2018-01-01T10:13:19Z,15082.45,2726.25
2018-01-01T10:15:00Z,15082.545,2726.25
2018-01-01T10:18:19Z,15082.64,2726.25
2018-01-01T10:20:00Z,15082.735,2726.25
2018-01-01T10:23:19Z,15082.83,2726.25
2018-01-01T10:25:00Z,15082.93,2726.25
2018-01-01T10:28:19Z,15083.03,2726.25
2018-01-01T10:30:00Z,15083.1,2726.25
2018-01-01T10:33:19Z,15083.17,2726.25
2018-01-01T10:35:00Z,15083.279999999999,2726.25
2018-01-01T10:38:19Z,15083.39,2726.25
2018-01-01T10:40:00Z,15083.48,2726.25
2018-01-01T10:43:19Z,15083.57,2726.25
2018-01-01T10:45:00Z,15083.66,2726.25
2018-01-01T10:48:20Z,15083.75,2726.25
2018-01-01T10:50:00Z,15083.835,2726.25
2018-01-01T10:53:19Z,15083.92,2726.25
2018-01-01T10:55:00Z,15084.02,2726.25
2018-01-01T10:58:19Z,15084.12,2726.25
2018-01-01T11:00:00Z,15084.21,2726.25
2018-01-01T11:03:19Z,15084.3,2726.25
2018-01-01T11:05:00Z,15084.39,2726.25
2018-01-01T11:08:20Z,15084.48,2726.25
2018-01-01T11:10:00Z,15084.57,2726.25
2018-01-01T11:13:19Z,15084.66,2726.25
2018-01-01T11:15:00Z,15084.744999999999,2726.25
2018-01-01T11:18:20Z,15084.83,2726.25
2018-01-01T11:20:00Z,15084.925,2726.25
2018-01-01T11:23:20Z,15085.02,2726.25
2018-01-01T11:25:00Z,15085.115,2726.25
2018-01-01T11:28:19Z,15085.21,2726.25
2018-01-01T11:30:00Z,15085.3,2726.25
2018-01-01T11:33:20Z,15085.39,2726.25
2018-01-01T11:35:00Z,15085.47,2726.25
2018-01-01T11:38:19Z,15085.55,2726.25
2018-01-01T11:40:00Z,15085.65,2726.25
2018-01-01T11:43:19Z,15085.75,2726.25
2018-01-01T11:45:00Z,15085.83,2726.25
2018-01-01T11:48:20Z,15085.91,2726.25
2018-01-01T11:50:00Z,15086.01,2726.25
2018-01-01T11:53:20Z,15086.11,2726.25
2018-01-01T11:55:00Z,15086.195,2726.25
2018-01-01T11:58:20Z,15086.28,2726.25
2018-01-01T12:00:00Z,15086.375,2726.25
