timestamp,运行时间,平均速度,油压,冷却剂温度,电池电压,总网有功电能,总有功功率,总无功功率,总视在功率,运行
2018-01-24T13:08:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:13:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:18:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:23:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:28:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:33:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:38:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:43:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:48:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:53:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T13:58:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:03:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:08:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:13:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:18:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:23:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:28:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:33:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:38:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:43:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:48:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:53:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T14:58:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:03:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:08:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:13:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:18:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:23:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:28:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:33:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:38:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:43:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:48:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:53:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T15:58:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T16:03:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
2018-01-24T16:08:11Z,5418.55,0.0,0.0,430.0,273.0,6755197.0,0.0,0.0,0.0,0.0
